rank,word,count,percent,cumulative_percent
1,freedom,20,2.3015,2.3015
2,dream,13,1.4960,3.7975
3,negro,13,1.4960,5.2934
4,one,13,1.4960,6.7894
5,let,13,1.4960,8.2854
6,ring,12,1.3809,9.6663
7,day,11,1.2658,10.9321
8,nation,10,1.1507,12.0829
9,come,10,1.1507,13.2336
10,every,10,1.1507,14.3843
11,today,9,1.0357,15.4200
12,go,9,1.0357,16.4557
13,back,9,1.0357,17.4914
14,justice,8,0.9206,18.4120
15,satisfied,8,0.9206,19.3326
16,able,8,0.9206,20.2532
17,all,7,0.8055,21.0587
18,together,7,0.8055,21.8642
19,long,6,0.6904,22.5547
20,men,6,0.6904,23.2451
21,white,6,0.6904,23.9356
22,now,6,0.6904,24.6260
23,cannot,6,0.6904,25.3165
24,years,5,0.5754,25.8918
25,great,5,0.5754,26.4672
26,free,5,0.5754,27.0426
27,check,5,0.5754,27.6180
28,america,5,0.5754,28.1933
29,time,5,0.5754,28.7687
30,children,5,0.5754,29.3441
31,new,5,0.5754,29.9194
32,faith,5,0.5754,30.4948
33,down,4,0.4603,30.9551
34,american,4,0.4603,31.4154
35,hope,4,0.4603,31.8757
36,hundred,4,0.4603,32.3360
37,later,4,0.4603,32.7963
38,still,4,0.4603,33.2566
39,land,4,0.4603,33.7169
40,black,4,0.4603,34.1772
41,until,4,0.4603,34.6375
42,up,4,0.4603,35.0978
43,mississippi,4,0.4603,35.5581
44,mountain,4,0.4603,36.0184
45,join,3,0.3452,36.3636
46,stand,3,0.3452,36.7089
47,injustice,3,0.3452,37.0541
48,words,3,0.3452,37.3993
49,note,3,0.3452,37.7445
50,rights,3,0.3452,38.0898
51,people,3,0.3452,38.4350
52,make,3,0.3452,38.7802
53,rise,3,0.3452,39.1254
54,valley,3,0.3452,39.4707
55,brotherhood,3,0.3452,39.8159
56,god's,3,0.3452,40.1611
57,sweltering,3,0.3452,40.5063
58,never,3,0.3452,40.8516
59,some,3,0.3452,41.1968
60,out,3,0.3452,41.5420
61,alabama,3,0.3452,41.8872
62,georgia,3,0.3452,42.2325
63,state,3,0.3452,42.5777
64,little,3,0.3452,42.9229
65,made,3,0.3452,43.2681
66,sing,3,0.3452,43.6133
67,last,3,0.3452,43.9586
68,text,2,0.2301,44.1887
69,speech,2,0.2301,44.4189
70,martin,2,0.2301,44.6490
71,luther,2,0.2301,44.8792
72,king,2,0.2301,45.1093
73,history,2,0.2301,45.3395
74,came,2,0.2301,45.5696
75,slaves,2,0.2301,45.7998
76,end,2,0.2301,46.0299
77,life,2,0.2301,46.2601
78,segregation,2,0.2301,46.4902
79,cash,2,0.2301,46.7204
80,promissory,2,0.2301,46.9505
81,liberty,2,0.2301,47.1807
82,color,2,0.2301,47.4108
83,insufficient,2,0.2301,47.6410
84,funds,2,0.2301,47.8711
85,refuse,2,0.2301,48.1013
86,believe,2,0.2301,48.3314
87,urgency,2,0.2301,48.5616
88,off,2,0.2301,48.7917
89,racial,2,0.2301,49.0219
90,negro's,2,0.2301,49.2520
91,content,2,0.2301,49.4822
92,continue,2,0.2301,49.7123
93,say,2,0.2301,49.9425
94,struggle,2,0.2301,50.1726
95,dignity,2,0.2301,50.4028
96,allow,2,0.2301,50.6329
97,creative,2,0.2301,50.8631
98,physical,2,0.2301,51.0932
99,again,2,0.2301,51.3234
100,force,2,0.2301,51.5535
101,brothers,2,0.2301,51.7837
102,realize,2,0.2301,52.0138
103,destiny,2,0.2301,52.2440
104,walk,2,0.2301,52.4741
105,police,2,0.2301,52.7043
106,brutality,2,0.2301,52.9344
107,cities,2,0.2301,53.1646
108,only,2,0.2301,53.3947
109,vote,2,0.2301,53.6249
110,york,2,0.2301,53.8550
111,like,2,0.2301,54.0852
112,mighty,2,0.2301,54.3153
113,jail,2,0.2301,54.5455
114,suffering,2,0.2301,54.7756
115,work,2,0.2301,55.0058
116,south,2,0.2301,55.2359
117,knowing,2,0.2301,55.4661
118,despair,2,0.2301,55.6962
119,even,2,0.2301,55.9264
120,live,2,0.2301,56.1565
121,true,2,0.2301,56.3867
122,meaning,2,0.2301,56.6168
123,sons,2,0.2301,56.8470
124,former,2,0.2301,57.0771
125,heat,2,0.2301,57.3072
126,boys,2,0.2301,57.5374
127,girls,2,0.2301,57.7675
128,hands,2,0.2301,57.9977
129,hill,2,0.2301,58.2278
130,places,2,0.2301,58.4580
131,stone,2,0.2301,58.6881
132,thee,2,0.2301,58.9183
133,mountainside,2,0.2301,59.1484
134,full,1,0.1151,59.2635
135,dr,1,0.1151,59.3786
136,junior,1,0.1151,59.4937
137,happy,1,0.1151,59.6087
138,greatest,1,0.1151,59.7238
139,demonstration,1,0.1151,59.8389
140,five,1,0.1151,59.9540
141,score,1,0.1151,60.0690
142,ago,1,0.1151,60.1841
143,whose,1,0.1151,60.2992
144,symbolic,1,0.1151,60.4143
145,shadow,1,0.1151,60.5293
146,signed,1,0.1151,60.6444
147,emancipation,1,0.1151,60.7595
148,proclamation,1,0.1151,60.8746
149,momentous,1,0.1151,60.9896
150,decree,1,0.1151,61.1047
151,beacon,1,0.1151,61.2198
152,light,1,0.1151,61.3349
153,millions,1,0.1151,61.4499
154,seared,1,0.1151,61.5650
155,flames,1,0.1151,61.6801
156,withering,1,0.1151,61.7952
157,joyous,1,0.1151,61.9102
158,daybreak,1,0.1151,62.0253
159,night,1,0.1151,62.1404
160,captivity,1,0.1151,62.2555
