Date.Month,Date.Year,Capacity,Gross Potential
12,2000,56,32
12,2000,36,33
12,2000,57,36
12,2000,41,37
12,2000,50,42
12,2000,54,42
12,2000,55,42
12,2000,53,43
12,2000,53,43
12,2000,49,44
12,2000,55,44
12,2000,51,44
12,2000,52,45
12,2000,52,46
12,2000,65,47
12,2000,63,48
12,2000,63,49
12,2000,51,49
12,2000,61,52
12,2000,82,52
12,2000,61,54
12,2000,66,55
12,2000,70,55
12,2000,58,55
12,2000,64,55
12,2000,67,56
12,2000,64,56
12,2000,80,56
12,2000,66,56
12,2000,69,57
12,2000,73,57
12,2000,72,57
12,2000,68,57
12,2000,63,58
12,2000,64,58
12,2000,84,58
12,2000,65,59
12,2000,62,59
12,2000,80,59
12,2000,70,60
12,2000,69,60
12,2000,61,60
12,2000,64,61
12,2000,94,61
12,2000,96,62
12,2000,75,62
12,2000,77,62
12,2000,93,63
12,2000,70,64
12,2000,97,64
12,2000,64,64
12,2000,79,65
12,2000,72,66
12,2000,81,66
12,2000,65,66
12,2000,80,67
12,2000,75,67
12,2000,74,67
12,2000,67,67
12,2000,86,67
12,2000,74,69
12,2000,78,69
12,2000,86,69
12,2000,76,71
12,2000,71,71
12,2000,70,71
12,2000,74,72
12,2000,84,73
12,2000,85,73
12,2000,73,73
12,2000,75,73
12,2000,76,74
12,2000,96,74
12,2000,88,75
12,2000,88,76
12,2000,71,76
12,2000,82,77
12,2000,89,78
12,2000,83,78
12,2000,74,78
12,2000,79,78
12,2000,89,78
12,2000,93,79
12,2000,93,79
12,2000,91,79
12,2000,82,79
12,2000,82,79
12,2000,82,79
12,2000,90,80
12,2000,81,80
12,2000,80,81
12,2000,84,81
12,2000,87,81
12,2000,82,82
12,2000,85,82
12,2000,95,82
12,2000,68,82
12,2000,80,82
12,2000,91,83
12,2000,82,83
12,2000,86,83
12,2000,76,83
12,2000,92,84
12,2000,86,84
12,2000,90,85
12,2000,89,85
12,2000,73,85
12,2000,71,85
12,2000,89,85
12,2000,96,85
12,2000,90,86
12,2000,89,86
12,2000,89,87
12,2000,94,88
12,2000,91,88
12,2000,92,88
12,2000,91,89
12,2000,94,90
12,2000,83,90
12,2000,95,91
12,2000,96,91
12,2000,76,91
12,2000,89,92
12,2000,90,93
12,2000,89,93
12,2000,93,93
12,2000,95,94
12,2000,85,94
12,2000,99,95
12,2000,95,95
12,2000,97,95
12,2000,95,95
12,2000,92,96
12,2000,96,97
12,2000,100,97
12,2000,93,97
12,2000,99,97
12,2000,95,98
12,2000,98,98
12,2000,97,98
12,2000,98,98
12,2000,100,100
12,2000,97,101
12,2000,99,102
