Month,Year,Capacity,Gross Potential
12,2002,30,20
12,2002,28,20
12,2002,25,24
12,2002,58,25
12,2002,31,26
12,2002,61,29
12,2002,38,32
12,2002,36,32
12,2002,43,34
12,2002,51,36
12,2002,50,38
12,2002,51,38
12,2002,49,39
12,2002,70,39
12,2002,51,40
12,2002,53,40
12,2002,46,40
12,2002,45,41
12,2002,57,41
12,2002,48,41
12,2002,50,42
12,2002,52,44
12,2002,53,44
12,2002,52,46
12,2002,62,47
12,2002,55,47
12,2002,52,47
12,2002,62,47
12,2002,56,47
12,2002,66,48
12,2002,50,49
12,2002,59,50
12,2002,62,50
12,2002,51,51
12,2002,74,52
12,2002,59,52
12,2002,56,52
12,2002,72,54
12,2002,63,54
12,2002,69,55
12,2002,67,56
12,2002,67,58
12,2002,69,58
12,2002,70,58
12,2002,70,59
12,2002,69,59
12,2002,67,59
12,2002,67,61
12,2002,71,61
12,2002,69,61
12,2002,88,63
12,2002,77,63
12,2002,72,63
12,2002,74,64
12,2002,74,65
12,2002,72,66
12,2002,74,66
12,2002,80,67
12,2002,85,68
12,2002,82,68
12,2002,78,68
12,2002,67,68
12,2002,74,69
12,2002,79,69
12,2002,78,70
12,2002,72,71
12,2002,79,71
12,2002,76,71
12,2002,78,72
12,2002,78,72
12,2002,75,73
12,2002,84,74
12,2002,74,74
12,2002,80,75
12,2002,82,76
12,2002,81,76
12,2002,81,77
12,2002,82,77
12,2002,81,77
12,2002,86,77
12,2002,77,78
12,2002,84,78
12,2002,85,78
12,2002,85,79
12,2002,84,80
12,2002,84,81
12,2002,87,81
12,2002,82,81
12,2002,81,81
12,2002,85,81
12,2002,85,83
12,2002,80,84
12,2002,88,84
12,2002,96,85
12,2002,98,85
12,2002,96,86
12,2002,91,87
12,2002,90,87
12,2002,89,88
12,2002,92,88
12,2002,90,88
12,2002,88,89
12,2002,96,90
12,2002,87,92
12,2002,92,93
12,2002,84,93
12,2002,96,93
12,2002,96,93
12,2002,93,94
12,2002,87,95
12,2002,82,95
12,2002,90,95
12,2002,93,95
12,2002,97,95
12,2002,94,96
12,2002,87,96
12,2002,93,96
12,2002,98,96
12,2002,97,96
12,2002,96,97
12,2002,99,98
12,2002,95,98
12,2002,100,99
12,2002,97,100
12,2002,95,100
12,2002,97,101
12,2002,100,102
12,2002,100,102
12,2002,91,102
12,2002,98,109
12,2002,100,110
12,2002,100,111
12,2002,99,112
