Date.Month,Date.Year,Capacity,Gross Potential
7,2000,36,25
7,2000,47,28
7,2000,46,28
7,2000,63,30
7,2000,49,31
7,2000,58,32
7,2000,52,34
7,2000,69,39
7,2000,62,42
7,2000,63,43
7,2000,66,44
7,2000,71,45
7,2000,71,45
7,2000,75,46
7,2000,64,46
7,2000,70,46
7,2000,65,47
7,2000,64,49
7,2000,58,50
7,2000,74,51
7,2000,72,52
7,2000,68,52
7,2000,64,52
7,2000,69,54
7,2000,66,55
7,2000,73,56
7,2000,67,57
7,2000,84,57
7,2000,83,57
7,2000,69,58
7,2000,68,58
7,2000,73,58
7,2000,69,58
7,2000,77,59
7,2000,91,59
7,2000,80,59
7,2000,69,59
7,2000,82,60
7,2000,82,60
7,2000,77,60
7,2000,62,60
7,2000,71,60
7,2000,92,61
7,2000,58,61
7,2000,72,61
7,2000,69,61
7,2000,82,63
7,2000,73,63
7,2000,81,64
7,2000,74,64
7,2000,81,64
7,2000,78,64
7,2000,86,66
7,2000,79,67
7,2000,67,67
7,2000,93,68
7,2000,72,68
7,2000,95,69
7,2000,82,69
7,2000,82,69
7,2000,93,69
7,2000,93,70
7,2000,92,70
7,2000,82,70
7,2000,78,70
7,2000,84,71
7,2000,82,71
7,2000,94,71
7,2000,72,71
7,2000,84,72
7,2000,89,72
7,2000,79,72
7,2000,73,73
7,2000,78,73
7,2000,85,74
7,2000,82,74
7,2000,89,75
7,2000,74,75
7,2000,91,76
7,2000,87,76
7,2000,88,76
7,2000,86,76
7,2000,95,77
7,2000,92,77
7,2000,91,77
7,2000,89,77
7,2000,90,77
7,2000,90,78
7,2000,88,78
7,2000,86,78
7,2000,94,79
7,2000,90,79
7,2000,92,80
7,2000,89,80
7,2000,92,80
7,2000,94,81
7,2000,100,81
7,2000,91,81
7,2000,90,81
7,2000,77,81
7,2000,81,82
7,2000,95,83
7,2000,82,84
7,2000,83,85
7,2000,94,86
7,2000,95,87
7,2000,87,88
7,2000,84,88
7,2000,90,90
7,2000,96,91
7,2000,97,93
7,2000,97,93
7,2000,99,93
7,2000,89,93
7,2000,88,93
7,2000,98,94
7,2000,98,94
7,2000,97,94
7,2000,97,94
7,2000,95,94
7,2000,100,96
7,2000,100,97
7,2000,100,97
7,2000,100,97
7,2000,100,98
7,2000,100,98
7,2000,97,121
