name,value
JzlAU,2748
RZUCn,2601
lgWvk,7245
gpNRL,8974
FAFUJ,1555
LuhMD,9440
ilQYb,3406
gHmJK,2664
mPbIb,3811
vGTMa,6793
orIhx,8902
auzqi,6892
scjCO,3878
dEOGs,8464
ZzWzp,9098
SZlJn,4368
pbAjc,6626
XHZgX,8144
ESaIU,688
GjmxO,5391
SXvup,7770
YKRzB,1565
ZVNQt,4164
yZwHV,9233
CItkC,7670
TbkzN,6490
INgXi,5953
mCBtE,4504
mMTzD,8400
GBNVZ,9273
WWJvs,8872
KevUa,9516
ttXPs,7466
VqKIt,6494
leOXR,2497
Inzgt,958
QjhTF,9061
lSoxE,1057
nARmq,7333
oegoa,267
yxnML,6277
pCHGK,4725
nSbxi,9353
xEybt,8343
CCgCA,6890
Tmrbc,7167
qZckB,899
iDbDT,4684
rDbYZ,4291
rPgnh,2189
NJWPZ,8797
qJTBv,5728
fIrjD,2150
HOcpw,3078
DQprf,7896
iwAzm,1963
buZQA,5435
NaYJt,3377
AKLKZ,6856
QmMay,8172
mUdtY,6285
XdeDK,9152
nnFtl,7414
HyHnF,229
quSnY,8926
UNhRb,4305
vpVoh,7435
cOCNN,973
MUmRr,2795
DKueZ,3260
mBwpd,2930
dGhiD,6382
QhVzc,8341
rPdIt,4678
IddWF,3927
hMloZ,7314
HVHTE,3261
VgkAU,9614
RDkZk,1091
JuOKP,243
KapBI,8751
RWuKY,8145
wvYWJ,2051
vcNNI,3595
URxld,2242
cFBMO,3127
alhPX,9449
QIRJd,6741
QLtLl,4182
jaCqI,1877
UCMjO,4902
XCmco,7408
sBnYY,727
VudRq,1646
oltLy,6426
zvbir,1742
hkxPE,3711
CsgSR,8776
ymRDk,3755
OUqWi,6411
eJmGI,8733
AdOFd,2067
UbrZO,2840
aFSmQ,4361
HsnZQ,3544
IrlTl,9178
Bjehv,9818
OXfTy,6267
muZNp,9977
QeFSZ,2065
uiqTR,3901
RRxin,594
ZUQNy,7658
qaYTC,1740
rCXWp,8723
tXMXL,8936
Vetbs,5730
jcNHA,4946
IzCSG,7068
ULoxk,9118
WeCZS,2072
URSHC,3977
zIFGR,9
HZFSQ,7934
eAAoy,6113
uXDzm,1723
qASsJ,7422
Kdidb,8289
ISHtY,3564
bWjLA,4121
DKyIw,9869
LSQqD,7227
eQsZW,9631
wKoKh,6753
XgsDy,9658
CFbsO,7918
IEgyK,2009
oWndo,5944
WCElt,1492
HRXkr,8022
ltZfg,3914
auOIa,7586
hgnrZ,2218
PXsAs,8345
cmCUx,6880
PgoYf,5568
rmYtl,850
JlgyN,7893
fstms,9782
sBsYp,9889
inwDz,1120
ImYcD,5165
wICXK,1624
zfaLz,276
MMskY,3601
ZQKgH,1463
lVTHd,7633
YJBxr,9375
fyDHs,1692
FxqHw,7240
WRcKQ,2046
ryipc,3641
kUIDg,9346
aWsyN,6848
YwTkB,3537
PuHzc,4343
dhbiG,4761
wVHsy,9697
mIPkN,523
Xzddc,3332
vfBoE,5993
qXuRa,6801
ZALDr,9504
ddCar,1363
diBYa,2759
gbACx,8768
VeEgg,3867
XDKDD,2356
htUCR,5287
VPDcu,929
AebmY,2904
bUPrv,5549
Sqfsz,2775
wIPTT,3439
klpHi,5522
KPWBO,3520
cCdFo,7547
WOeiX,4876
agPcq,7936
HPTef,1280
bvFEK,4822
Hbzaa,4359
qyJfR,8692
ujdiW,5767
VsyKq,3368
SXgYe,1028
jdMhR,8391
dedsi,2053
yKhTa,8956
DJSbQ,2145
FbmzW,4839
GUBCn,266
bDUhJ,3496
tMjjj,9184
zNFPc,7749
rtLeD,9002
rcYVv,6716
ArtKv,960
UTXTw,3213
MHFlf,1148
Liiwh,7180
asLrO,5185
dxXQJ,3230
Egljr,1106
EapYh,5339
Ktqoh,6268
LSqka,8684
OyHIQ,1232
qRkYv,2109
osKUz,6889
ooNKA,6852
tZKlh,8495
mGDwm,8760
IVIqU,1273
zVaWa,5962
wofXb,7038
NWMjy,7220
lMzWN,6322
CRnWk,6147
zuwAc,3849
WnaBf,2065
eEQzR,5276
RAKbf,6348
jMjyv,2006
ZlKMn,7443
CRMhZ,4610
rrAwp,5774
ymufX,4447
uwDgO,4655
qEhYK,4058
UENta,3976
zoBFB,7098
dzJSu,6497
UgsMD,9442
dDJKz,8621
aMCwj,4364
jDNjZ,1426
EWenv,1047
mxBch,410
drmGk,5256
ihlvt,113
qhxbk,7062
BOLtk,1478
gyavQ,3661
oBjYK,336
ZTSuw,1780
AZIHw,4609
lDUtv,10000
VOWCD,2401
bvsFS,3330
nzyKj,5070
PycmV,2149
EaXSW,7450
Kvdfg,6812
ricYd,2538
oQehg,3060
gKPgr,9039
dNhvg,683
ScOTx,6739
GwbXW,177
epnLu,3386
OdgKd,9145
TjFhs,1226
igoEv,4191
dsoca,3690
AtzOF,4279
guhvT,3084
ziHYx,4686
LiPpj,151
xnYBu,9488
cmoux,4229
fCkAm,3565
XEKht,2131
KJFTd,3595
PnGpi,8294
WDcXq,6847
YbFtA,9043
ZjBHU,9854
QjxKM,1347
kiTbc,6750
DmIkA,1548
RkJVY,554
mbpQc,9127
SCcMg,5580
nKPSi,2793
FQgXZ,4333
Stntb,3088
GHUly,6315
NNZKF,2415
rVHlf,7949
IgbQv,425
Npsdz,7319
HREyx,4887
abEDt,8750
kJMnW,3711
YGiLO,9726
TNWMp,9032
LJGtU,4530
cydwn,2294
DpPZO,9286
CgKEO,6214
GsNHD,2622
MGkhB,3799
TFNMb,8381
EcNBP,5877
iZuLm,6296
bqqxe,377
ksfzA,5300
TyAsz,1722
eqsBw,7716
wWvgn,1555
VnHlV,3530
DEstD,899
jdODS,4122
nfwTw,4717
kNwZP,4780
NIrZa,8537
meQNj,4283
zkAXW,715
dRiMN,8541
gdZuL,5670
kUiGZ,4420
GzFYt,1054
eiLSs,7289
JqPPd,1946
fMoNe,4080
aojFc,6965
hSeYG,9216
sJqec,1301
UQKGH,2557
xJqrz,2475
tEEkv,2351
mBSxX,8055
vKXAh,6658
sQCIL,6417
uqdvP,4651
GjEnx,736
Dpzkk,5735
rtkTg,7825
wSCfz,3998
njNXo,7330
DmTUR,5021
WowGJ,3801
hGQca,237
pvvoF,2130
OjTst,6252
Fkely,5381
NXUJV,7610
XHbrA,4375
ikygT,9976
zwYYm,7469
tGRiX,131
ioUss,2570
eQIhY,4
VGsEZ,1199
swXOh,5488
UNhPH,4489
SuJlu,5454
KoJlV,4851
Bqmbz,9977
svonc,8333
GIhso,3953
puSkx,5801
WFEjX,7286
tgLhy,599
wkWER,9934
tkdfW,7077
gqIZb,2905
EQCfU,9542
MPRBt,7657
TfFRl,9302
WKAZq,9742
XeQtJ,7041
VdDcB,351
