timestamp,n_items,elapsed_seconds
2025-11-10T18:21:23,10,0.000007
2025-11-10T18:21:23,10,0.000007
2025-11-10T18:21:23,10,0.000005
2025-11-10T18:21:23,20,0.000017
2025-11-10T18:21:23,20,0.000021
2025-11-10T18:21:23,20,0.000015
2025-11-10T18:21:23,40,0.000053
2025-11-10T18:21:23,40,0.000062
2025-11-10T18:21:23,40,0.000066
2025-11-10T18:21:23,80,0.000250
2025-11-10T18:21:23,80,0.000276
2025-11-10T18:21:23,80,0.000261
2025-11-10T18:21:23,160,0.001007
2025-11-10T18:21:23,160,0.000980
2025-11-10T18:21:23,160,0.001036
2025-11-10T18:21:23,320,0.004245
2025-11-10T18:21:23,320,0.003944
2025-11-10T18:21:23,320,0.004129
2025-11-10T18:21:23,640,0.017645
2025-11-10T18:21:23,640,0.017635
2025-11-10T18:21:23,640,0.017409
2025-11-10T18:21:23,1000,0.045173
2025-11-10T18:21:23,1000,0.044964
2025-11-10T18:21:23,1000,0.044949
2025-11-10T18:23:17,100,0.000466
2025-11-10T18:23:17,100,0.000390
2025-11-10T18:23:17,100,0.000413
2025-11-10T18:23:17,200,0.001513
2025-11-10T18:23:17,200,0.001545
2025-11-10T18:23:17,200,0.001541
2025-11-10T18:23:17,400,0.006495
2025-11-10T18:23:17,400,0.006511
2025-11-10T18:23:17,400,0.006294
2025-11-10T18:23:17,800,0.028501
2025-11-10T18:23:17,800,0.028394
2025-11-10T18:23:17,800,0.028285
2025-11-10T18:23:17,1600,0.118597
2025-11-10T18:23:18,1600,0.120339
2025-11-10T18:23:18,1600,0.120994
2025-11-10T18:23:18,3200,0.484198
2025-11-10T18:23:19,3200,0.481656
2025-11-10T18:23:19,3200,0.482840
2025-11-10T18:23:21,6400,1.946691
2025-11-10T18:23:23,6400,1.986330
2025-11-10T18:23:25,6400,1.998971
2025-11-10T18:23:30,10000,4.828249
2025-11-10T18:23:35,10000,4.846745
2025-11-10T18:23:40,10000,4.839383
2025-11-10T18:30:59,100,0.000412
2025-11-10T18:30:59,100,0.000403
2025-11-10T18:30:59,100,0.000410
2025-11-10T18:30:59,200,0.001541
2025-11-10T18:30:59,200,0.001527
2025-11-10T18:30:59,200,0.001488
2025-11-10T18:30:59,400,0.006573
2025-11-10T18:30:59,400,0.006383
2025-11-10T18:30:59,400,0.006568
2025-11-10T18:31:00,800,0.028211
2025-11-10T18:31:00,800,0.028484
2025-11-10T18:31:00,800,0.028804
2025-11-10T18:31:00,1600,0.119876
2025-11-10T18:31:00,1600,0.118870
2025-11-10T18:31:00,1600,0.119075
2025-11-10T18:31:00,3200,0.492345
2025-11-10T18:31:01,3200,0.484595
2025-11-10T18:31:01,3200,0.484799
2025-11-10T18:31:03,6400,1.984700
2025-11-10T18:31:05,6400,1.965148
2025-11-10T18:31:07,6400,1.973021
2025-11-10T18:31:12,10000,4.852178
2025-11-10T18:31:17,10000,4.871230
2025-11-10T18:31:22,10000,4.870589
2025-11-10T18:31:42,20000,19.899824
2025-11-10T18:32:02,20000,19.873316
2025-11-10T18:32:21,20000,19.159670
2025-11-10T18:33:05,30000,44.459905
2025-11-10T18:33:36,100,0.000392
2025-11-10T18:33:36,100,0.000390
