Month,Year,Capacity,Gross Potential
7,2002,39,22
7,2002,34,23
7,2002,46,29
7,2002,38,29
7,2002,40,30
7,2002,43,31
7,2002,45,34
7,2002,47,35
7,2002,52,35
7,2002,69,36
7,2002,50,37
7,2002,74,37
7,2002,59,37
7,2002,50,39
7,2002,58,40
7,2002,57,40
7,2002,56,40
7,2002,65,41
7,2002,52,41
7,2002,59,42
7,2002,52,43
7,2002,66,44
7,2002,60,46
7,2002,63,46
7,2002,53,47
7,2002,67,47
7,2002,61,48
7,2002,61,48
7,2002,76,49
7,2002,75,49
7,2002,54,49
7,2002,64,49
7,2002,61,49
7,2002,56,50
7,2002,69,52
7,2002,62,53
7,2002,79,53
7,2002,69,54
7,2002,60,55
7,2002,62,55
7,2002,65,55
7,2002,75,55
7,2002,70,55
7,2002,82,56
7,2002,67,56
7,2002,60,56
7,2002,67,57
7,2002,85,57
7,2002,65,58
7,2002,77,58
7,2002,75,58
7,2002,65,59
7,2002,78,60
7,2002,63,60
7,2002,79,61
7,2002,73,62
7,2002,77,63
7,2002,66,63
7,2002,89,63
7,2002,85,64
7,2002,83,64
7,2002,67,64
7,2002,76,65
7,2002,82,65
7,2002,83,66
7,2002,77,66
7,2002,75,66
7,2002,76,67
7,2002,88,68
7,2002,84,68
7,2002,76,68
7,2002,83,68
7,2002,79,68
7,2002,80,69
7,2002,88,69
7,2002,94,70
7,2002,80,71
7,2002,78,71
7,2002,85,71
7,2002,93,71
7,2002,82,72
7,2002,91,73
7,2002,93,73
7,2002,82,73
7,2002,81,73
7,2002,92,73
7,2002,87,74
7,2002,96,74
7,2002,84,75
7,2002,87,76
7,2002,97,77
7,2002,92,79
7,2002,93,82
7,2002,94,84
7,2002,90,87
7,2002,93,88
7,2002,96,89
7,2002,96,90
7,2002,95,91
7,2002,97,92
7,2002,99,108
7,2002,99,109
7,2002,99,109
7,2002,99,109
