name,value
afitu,0
CZera,0
MxPHG,0
nFZTj,0
jfeHu,1
ZzbXe,2
QkNlr,3
eQIhY,4
URRgP,6
stYir,7
PnAVy,8
zIFGR,9
loKTb,10
wVevt,11
GOyEZ,11
UkUpG,11
qJyKT,11
rYkWX,12
bwcZT,12
PxRpY,14
AxssR,14
koSWo,15
XbCRC,16
ojkax,16
QMWTj,21
FqAsJ,22
gAAXC,22
ibEVG,24
kImbD,26
MzTdn,29
WsZas,29
iRbJe,29
KHoBW,30
HHouF,32
uRivB,34
BiqjW,34
jQzIz,34
YeOXp,35
xjYaS,35
ylwum,36
FSmwq,36
daLVG,37
JuUMc,38
wklkC,40
fjcpa,40
zMNWv,41
qGDgA,43
kUuDV,43
IwVVL,44
Pnhlr,44
ebqHe,45
DAcjn,46
ouLwp,49
GcWSd,49
ANqLl,50
YgtHI,50
cEIQg,52
gLvsV,52
YtXtE,52
YmCsZ,54
ZjLjM,55
oMHEC,56
Mcbrn,56
xounj,56
iIJMo,58
NPQiQ,58
KuPAk,63
zZuTj,66
WAOxc,67
xZUDp,68
BzIAu,68
KNMWb,70
ktteb,72
lPjLz,72
AtHvR,73
nNvaU,74
EMJkU,75
sdCvy,76
lUTvu,78
RNMsV,79
NMhjG,80
jHSZI,80
cYXME,80
apbEW,80
qyfoG,83
UTsEX,84
INvhu,85
DPVbw,86
XSIck,86
Rpply,88
nxLen,92
pcKVe,92
JXcGz,93
hWqEA,95
HlnsS,96
pzFXs,96
zVAPK,97
OjjgF,99
mqyhl,101
AuveO,104
kFZbh,105
oLuzR,106
EbKjG,108
iBrZm,109
hGdYG,109
fTgYB,110
bDpNR,111
ihlvt,113
zXhSr,113
zJinS,113
kwdAn,113
bZFiG,114
LUisV,114
Zbyjm,115
OrpwG,115
IyooK,115
RDdUz,115
YUYRD,117
GBsyY,118
Qoesf,121
JjXpe,122
PxtqM,122
DWehr,123
LlVIB,125
izoLa,126
lAJVj,126
RVPOG,129
tGRiX,131
kwdct,133
FRltP,133
Ogaaa,134
ZSwGg,135
AhWHY,136
WGrKa,139
Twqhc,140
sEBez,140
FSTcd,141
Oqkaj,141
MjOwe,143
ctvMA,143
jmIdi,143
ybysw,144
lngen,146
RvKXb,147
AurUW,148
oNFgL,148
LiPpj,151
jogMl,151
CqSUV,151
dEpqt,152
wfFRd,152
XRvNv,152
gWdKo,153
Oetof,153
GJUEG,156
rhpOL,159
InCjL,159
GFcjy,160
vWvBd,161
fTkiH,163
heYSN,164
HCHSH,164
Jxeia,164
vjNFT,166
NXOlK,167
zeAsC,170
qHImQ,170
UEErL,171
rkpJx,172
uvRiE,172
YftYW,173
DVsyO,173
LaBQF,174
KnzLm,175
GwbXW,177
lRzPr,177
nPoSi,179
hCfZB,182
zAgHQ,183
QNjmb,186
CgQMW,188
jbVKm,188
DMHAg,189
svmNa,189
sCkQy,190
bMWCX,191
ZUCZS,194
bUcmP,195
hZFst,196
fsurY,197
xvHFM,199
IqQjF,199
oDAUe,199
eIzpI,200
BwYKV,201
waWLm,201
dPfFN,202
YjcWj,203
gHTpx,203
hIutF,203
dAMVt,204
ewfFQ,204
mpmnC,204
SEtlo,205
FQouu,206
VPNfn,206
HfLWm,206
dXUcA,207
LWPwP,208
JZcDZ,208
BTaSV,210
GdeqI,212
aeMcv,212
tsHMl,212
bxBNv,212
qOeJg,214
dDFKC,215
dKAtA,217
cTAZk,219
uiGHw,219
mjIse,220
sWoZX,220
BYKTA,225
YRGml,226
VlZvu,226
HyHnF,229
qrtrC,231
dZrGs,231
uOtIE,232
AKxnR,232
afGHG,233
xfuFV,234
YFhma,235
bYZaX,236
IvPvE,236
hGQca,237
lirWu,238
jkIoA,238
sezTj,240
JuOKP,243
yuluF,243
wpglc,244
wTKne,244
dswGW,244
uQHer,244
IBkyb,245
tEqZm,248
vYZui,249
HIAeu,251
fWxar,251
ffcXk,251
wICvW,253
VMxAw,254
HjIQk,256
wPCkC,257
KWkfH,258
yoGah,258
zSkxO,262
iYomP,265
GUBCn,266
oegoa,267
RyKkH,267
vfXKA,269
FdrRo,271
qQrCH,271
oExZo,272
kFwrm,272
eqHfM,273
sbang,273
ZfVEq,273
zfaLz,276
vqgUt,276
wqsUJ,276
