range,run,cpu_primes,cpu_time,gpu_primes,gpu_time
1000000,1,78498,0.0023,78498,0.4874
1000000,2,78498,0.002,78498,0.0218
1000000,3,78498,0.002,78498,0.0218
10000000,1,664579,0.0355,664579,0.0717
10000000,2,664579,0.0334,664579,0.0718
10000000,3,664579,0.0327,664579,0.0713
50000000,1,3001134,0.371,3001134,0.1882
50000000,2,3001134,0.3619,3001134,0.1905
50000000,3,3001134,0.3612,3001134,0.1897
100000000,1,5761455,0.9675,5761455,0.3006
100000000,2,5761455,0.9701,5761455,0.2969
100000000,3,5761455,0.9686,5761455,0.3017
250000000,1,13679318,2.8056,13679318,0.567
250000000,2,13679318,2.8025,13679318,0.565
250000000,3,13679318,2.8068,13679318,0.5712
500000000,1,26355867,5.9423,26355867,0.9568
500000000,2,26355867,5.9509,26355867,0.9666
500000000,3,26355867,5.9402,26355867,0.9577
