algorithm,batch_size,run,adds,subs,comps,reads,writes,func_calls,time
bubble_sort,100,1,0,0,4950,9900,4732,1,0.0028002262115478516
merge_sort,100,1,640,0,541,1082,541,298,0.0005054473876953125
parallel_merge_sort,100,1,99,0,99,198,99,2,0.5411906242370605
builtin_sort,100,1,0,0,0,0,0,0,1.3113021850585938e-05
parallel_builtin_sort,100,1,0,0,0,0,0,0,0.5858860015869141
bubble_sort,1000,1,0,0,499500,999000,490366,1,0.27808356285095215
merge_sort,1000,1,9691,0,8692,17384,8692,2998,0.007778644561767578
parallel_merge_sort,1000,1,998,0,998,1996,998,2,0.4482738971710205
builtin_sort,1000,1,0,0,0,0,0,0,0.0001289844512939453
parallel_builtin_sort,1000,1,0,0,0,0,0,0,0.5434880256652832
bubble_sort,5000,1,0,0,12497500,24995000,12507686,1,7.43626856803894
merge_sort,5000,1,60196,0,55197,110394,55197,14998,0.05276656150817871
parallel_merge_sort,5000,1,4997,0,4997,9994,4997,2,0.4483308792114258
builtin_sort,5000,1,0,0,0,0,0,0,0.0006706714630126953
parallel_builtin_sort,5000,1,0,0,0,0,0,0,0.5168640613555908
