algorithm,batch_size,run,adds,subs,comps,reads,writes,func_calls,time
bubble_sort,100,1,0,0,4950,9900,5872,1,0.008959293365478516
merge_sort,100,1,628,0,529,1058,529,298,0.0015556812286376953
parallel_merge_sort,100,1,99,0,99,198,99,2,0.01914691925048828
builtin_sort,100,1,0,0,0,0,0,0,1.049041748046875e-05
parallel_builtin_sort,100,1,0,0,0,0,0,0,0.00762629508972168
bubble_sort,1000,1,0,0,499500,999000,502264,1,0.4633450508117676
merge_sort,1000,1,9679,0,8680,17360,8680,2998,0.013230323791503906
parallel_merge_sort,1000,1,997,0,997,1994,997,2,0.01525115966796875
builtin_sort,1000,1,0,0,0,0,0,0,0.00010085105895996094
parallel_builtin_sort,1000,1,0,0,0,0,0,0,0.008331537246704102
bubble_sort,5000,1,0,0,12497500,24995000,12616260,1,11.727254390716553
merge_sort,5000,1,60232,0,55233,110466,55233,14998,0.07923507690429688
parallel_merge_sort,5000,1,4997,0,4997,9994,4997,2,0.05553317070007324
builtin_sort,5000,1,0,0,0,0,0,0,0.0006389617919921875
parallel_builtin_sort,5000,1,0,0,0,0,0,0,0.01007843017578125
