algorithm,batch_size,run,adds,subs,comps,reads,writes,func_calls,time
bubble_sort,100,1,0,0,4950,9900,4506,1,0.002643585205078125
merge_sort,100,1,644,0,545,1090,545,298,0.0006208419799804688
parallel_merge_sort,100,1,98,0,98,196,98,2,0.5027670860290527
builtin_sort,100,1,0,0,0,0,0,0,3.3855438232421875e-05
parallel_builtin_sort,100,1,0,0,0,0,0,0,0.6703035831451416
bubble_sort,1000,1,0,0,499500,999000,495246,1,0.3030722141265869
merge_sort,1000,1,9676,0,8677,17354,8677,2998,0.010174989700317383
parallel_merge_sort,1000,1,999,0,999,1998,999,2,0.429628849029541
builtin_sort,1000,1,0,0,0,0,0,0,0.0001068115234375
parallel_builtin_sort,1000,1,0,0,0,0,0,0,0.6321747303009033
bubble_sort,5000,1,0,0,12497500,24995000,12503258,1,7.069953680038452
merge_sort,5000,1,60159,0,55160,110320,55160,14998,0.054061174392700195
parallel_merge_sort,5000,1,4999,0,4999,9998,4999,2,0.5165903568267822
builtin_sort,5000,1,0,0,0,0,0,0,0.0008733272552490234
parallel_builtin_sort,5000,1,0,0,0,0,0,0,0.663038969039917
