t_sec,rss_bytes,cpu_percent
0.000,13107200,0.0
0.101,13238272,128.3
0.218,13238272,80.6
0.314,13238272,120.7
0.421,13238272,76.9
0.496,13238272,104.1
0.593,13238272,109.9
0.688,13238272,104.5
0.784,13238272,94.0
0.875,13238272,98.9
0.986,13238272,98.8
1.093,13238272,98.7
1.199,13238272,103.4
1.305,13238272,94.1
1.411,13238272,113.0
1.523,13238272,76.8
1.578,13238272,126.4
1.659,13238272,99.0
1.755,13238272,84.6
1.846,13238272,120.9
1.958,13238272,103.4
2.064,13238272,89.7
2.170,13238272,108.8
2.277,13238272,94.3
2.393,13238272,94.0
2.495,13238272,111.6
2.616,13238272,94.0
2.723,13238272,98.9
2.813,13238272,93.8
2.909,13238272,99.1
3.010,13238272,114.9
3.111,13238272,84.6
3.213,13238272,103.9
3.309,13238272,94.2
3.410,13238272,104.3
3.516,13238272,94.3
3.612,13238272,104.2
3.713,13238272,109.2
3.813,13238272,94.0
3.909,13238272,99.2
4.005,13238272,89.3
4.101,13238272,105.0
4.191,13238272,109.1
4.292,13238272,105.1
4.383,13238272,94.0
4.479,13238272,94.0
4.564,13238272,105.1
4.660,13238272,94.5
4.766,13238272,103.9
4.867,13238272,99.3
4.962,13238272,104.4
5.058,13238272,99.2
5.169,13238272,103.1
5.286,13238272,89.8
5.387,13238272,104.5
5.482,13238272,104.5
5.583,13238272,90.2
5.689,13238272,104.5
5.785,13238272,114.9
5.885,13238272,108.2
5.997,13238272,88.9
6.098,13238272,99.0
6.189,13238272,93.3
6.279,13238272,99.2
6.380,13238272,109.0
6.486,13238272,98.9
6.587,13238272,93.7
6.683,13238272,98.9
6.774,13238272,99.2
6.870,13238272,114.5
6.987,13238272,98.8
7.098,13238272,94.0
7.199,13238272,98.6
7.311,13238272,94.0
7.407,13238272,109.8
7.508,13238272,89.8
7.609,13238272,109.9
7.705,13238272,104.1
7.812,13238272,89.7
7.908,13238272,120.7
8.014,13238272,94.0
8.121,13238272,98.7
8.227,13238272,108.6
8.333,13238272,94.3
8.429,13238272,103.9
8.536,13238272,89.7
8.642,13238272,108.8
8.743,13238272,89.8
8.849,13238272,107.8
8.966,13238272,98.8
9.072,13238272,98.7
9.178,13238272,94.1
9.274,13238272,110.2
9.370,13238272,94.0
9.461,13238272,104.5
9.566,13238272,99.2
9.662,13238272,94.0
9.758,13238272,104.4
9.854,13238272,94.0
9.949,13238272,99.1
10.035,13238272,99.2
10.126,13238272,104.5
10.227,13238272,93.9
10.323,13238272,103.6
10.429,13238272,104.1
10.525,13238272,104.1
10.626,13238272,99.0
10.722,13238272,98.8
10.823,13238272,103.5
10.940,13238272,89.7
11.036,13238272,108.7
11.153,13238272,94.1
11.248,13238272,104.3
11.355,13238272,89.8
11.446,13238272,120.7
11.552,13238272,84.7
11.648,13238272,93.9
11.739,13238272,110.1
11.840,13238272,109.1
11.941,13238272,83.4
12.026,13238272,116.6
12.122,13238272,93.8
12.223,13238272,89.1
12.309,13238272,116.7
12.410,13238272,99.2
12.506,13238272,104.4
12.601,13238272,94.0
12.697,13238272,99.1
12.798,13238272,103.5
12.910,13238272,103.5
13.011,13238272,94.0
13.122,13238272,88.9
13.208,13238272,116.4
13.310,13238272,103.5
13.416,13238272,98.7
13.522,13238272,94.1
13.629,13238272,94.1
13.735,13238272,98.9
13.831,13238272,118.7
13.947,13238272,80.9
14.043,13238272,114.4
14.150,13238272,93.9
14.246,13238272,120.9
14.352,13238272,94.0
14.453,13238272,94.1
14.565,13238272,107.6
14.671,13238272,88.9
14.767,13238272,108.6
14.874,13238272,94.0
14.975,13238272,107.7
15.097,13238272,80.8
15.193,13238272,120.9
15.299,13238272,93.9
15.395,13238272,104.0
15.502,13238272,103.6
15.608,13238272,89.8
15.709,13238272,103.5
15.815,13238272,84.7
15.911,13238272,124.9
16.028,13238272,90.5
16.144,13238272,108.7
16.251,13238272,98.8
16.357,13238272,84.6
16.453,13238272,114.5
16.560,13238272,98.7
16.661,13238272,98.6
16.767,13238272,94.1
16.863,13238272,104.1
16.970,13238272,107.7
17.091,13238272,98.8
17.192,13238272,98.8
17.309,13238272,89.8
17.405,13238272,116.3
17.511,13238272,107.8
17.623,13238272,89.8
17.734,13238272,98.8
17.840,13238272,89.0
17.931,13238272,108.7
18.042,13238272,89.0
18.128,13238272,116.3
18.224,13238272,98.9
18.331,13238272,94.0
18.437,13238272,103.4
18.543,13238272,103.5
18.650,13238272,98.9
18.756,13238272,98.6
18.857,13238272,93.6
18.958,13238272,107.8
19.075,13238272,103.4
19.181,13238272,94.5
19.283,13238272,104.0
19.389,13238272,107.7
19.500,13238272,103.4
19.612,13238272,80.7
19.708,13238272,112.9
19.824,13238272,84.7
19.920,13238272,104.2
20.017,13238272,104.0
20.113,13238272,109.9
20.219,13238272,103.4
20.325,13238272,94.1
20.421,13238272,104.1
20.523,13238272,89.8
20.624,13238272,114.4
20.735,13238272,85.8
20.836,13238272,109.8
20.943,13238272,103.4
21.049,13238272,94.1
21.150,13238272,89.8
21.246,13238272,114.4
21.363,13238272,98.5
21.464,13238272,104.1
21.571,13238272,94.3
21.667,13238272,104.0
21.768,13238272,89.7
21.874,13238272,103.5
21.980,13238272,112.8
22.097,13238272,89.7
22.203,13238272,103.5
22.310,13238272,98.8
22.416,13238272,98.6
22.522,13238272,107.8
22.639,13238272,94.0
22.740,13238272,94.0
22.841,13238272,114.5
22.948,13238272,98.8
23.054,13238272,103.5
23.160,13238272,98.8
23.267,13238272,103.5
23.373,13238272,94.1
23.474,13238272,98.6
23.580,13238272,103.6
23.697,13238272,103.6
23.803,13238272,94.0
23.909,13238272,103.5
24.015,13238272,94.2
24.122,13238272,89.6
24.218,13238272,114.5
24.324,13238272,98.8
24.431,13238272,102.9
24.547,13238272,103.0
24.664,13238272,94.1
24.770,13238272,94.0
24.866,13238272,98.7
24.967,13238272,107.6
25.094,13238272,86.8
25.201,13238272,109.8
25.302,13238272,98.8
25.413,13238272,94.1
25.509,13238272,118.6
25.626,13238272,94.0
25.732,13238272,89.7
25.828,13238272,93.7
25.924,13238272,120.8
26.031,13238272,98.8
26.137,13238272,94.0
26.243,13238272,98.8
26.345,13238272,112.8
26.456,13238272,94.0
26.557,13238272,89.7
26.659,13238272,109.8
26.765,13238272,103.6
26.871,13238272,94.0
26.972,13238272,112.9
27.089,13238272,77.2
27.185,13238272,120.8
27.292,13238272,102.9
27.408,13238272,80.7
27.499,13238272,104.7
27.590,13238272,124.9
27.707,13238272,98.7
27.813,13238272,94.1
27.909,13238272,104.0
28.016,13238272,103.5
28.117,13238272,98.6
28.228,13238272,84.7
28.324,13238272,120.9
28.431,13238272,94.0
28.537,13238272,103.4
28.643,13238272,98.9
28.755,13238272,94.4
28.866,13238272,108.7
28.973,13238272,80.8
29.064,13238272,104.0
29.165,13238272,104.1
29.261,13238272,109.8
29.367,13238272,98.8
29.474,13238272,98.7
29.580,13238272,84.7
29.671,13238272,118.6
29.787,13238272,98.7
29.894,13238272,94.0
30.000,13238272,94.0
30.096,13238272,120.8
30.203,13238272,80.7
30.299,13238272,109.8
30.395,13238272,104.0
30.501,13238272,89.8
30.597,13238272,104.0
30.694,13238272,93.7
30.790,13238272,114.5
30.896,13238272,98.8
30.997,13238272,89.8
31.098,13238272,101.1
