method,n,value,time_sec,calls,adds,assigns
recursive,0,0,9.5367431640625e-07,1,0,1
recursive,1,1,4.76837158203125e-07,1,0,1
recursive,2,1,1.1920928955078125e-06,3,1,2
recursive,3,2,1.430511474609375e-06,5,2,3
recursive,4,3,2.1457672119140625e-06,9,4,5
recursive,5,5,3.0994415283203125e-06,15,7,8
recursive,6,8,5.245208740234375e-06,25,12,13
recursive,7,13,8.58306884765625e-06,41,20,21
recursive,8,21,1.71661376953125e-05,67,33,34
recursive,9,34,2.2411346435546875e-05,109,54,55
recursive,10,55,3.719329833984375e-05,177,88,89
recursive,11,89,6.031990051269531e-05,287,143,144
recursive,12,144,9.655952453613281e-05,465,232,233
recursive,13,233,0.00015497207641601562,753,376,377
recursive,14,377,0.0002892017364501953,1219,609,610
recursive,15,610,0.0004906654357910156,1973,986,987
recursive,16,987,0.0009028911590576172,3193,1596,1597
recursive,17,1597,0.001196146011352539,5167,2583,2584
recursive,18,2584,0.0017969608306884766,8361,4180,4181
recursive,19,4181,0.0028994083404541016,13529,6764,6765
recursive,20,6765,0.004926204681396484,21891,10945,10946
recursive,21,10946,0.0077588558197021484,35421,17710,17711
recursive,22,17711,0.012576103210449219,57313,28656,28657
recursive,23,28657,0.020154953002929688,92735,46367,46368
recursive,24,46368,0.03246355056762695,150049,75024,75025
recursive,25,75025,0.05486607551574707,242785,121392,121393
recursive,26,121393,0.08665728569030762,392835,196417,196418
recursive,27,196418,0.13962459564208984,635621,317810,317811
recursive,28,317811,0.22309470176696777,1028457,514228,514229
recursive,29,514229,0.3614048957824707,1664079,832039,832040
recursive,30,832040,0.585705041885376,2692537,1346268,1346269
iterative,0,0,2.384185791015625e-06,1,0,2
iterative,1,1,9.5367431640625e-07,1,0,2
iterative,2,1,7.152557373046875e-07,1,1,4
iterative,3,2,7.152557373046875e-07,1,2,6
iterative,4,3,9.5367431640625e-07,1,3,8
iterative,5,5,9.5367431640625e-07,1,4,10
iterative,6,8,9.5367431640625e-07,1,5,12
iterative,7,13,1.430511474609375e-06,1,6,14
iterative,8,21,1.1920928955078125e-06,1,7,16
iterative,9,34,1.6689300537109375e-06,1,8,18
iterative,10,55,1.6689300537109375e-06,1,9,20
iterative,11,89,2.1457672119140625e-06,1,10,22
iterative,12,144,1.9073486328125e-06,1,11,24
iterative,13,233,1.9073486328125e-06,1,12,26
iterative,14,377,2.1457672119140625e-06,1,13,28
iterative,15,610,2.384185791015625e-06,1,14,30
iterative,16,987,2.384185791015625e-06,1,15,32
iterative,17,1597,2.86102294921875e-06,1,16,34
iterative,18,2584,2.86102294921875e-06,1,17,36
iterative,19,4181,3.0994415283203125e-06,1,18,38
iterative,20,6765,3.337860107421875e-06,1,19,40
iterative,21,10946,3.337860107421875e-06,1,20,42
iterative,22,17711,3.5762786865234375e-06,1,21,44
iterative,23,28657,3.5762786865234375e-06,1,22,46
iterative,24,46368,4.0531158447265625e-06,1,23,48
iterative,25,75025,4.0531158447265625e-06,1,24,50
iterative,26,121393,4.291534423828125e-06,1,25,52
iterative,27,196418,4.291534423828125e-06,1,26,54
iterative,28,317811,4.76837158203125e-06,1,27,56
iterative,29,514229,4.76837158203125e-06,1,28,58
iterative,30,832040,5.0067901611328125e-06,1,29,60
