method,n,value,time_sec,calls,adds,assigns
recursive,0,0,7.152557373046875e-07,1,0,1
recursive,1,1,4.76837158203125e-07,1,0,1
recursive,2,1,1.430511474609375e-06,3,1,2
recursive,3,2,1.430511474609375e-06,5,2,3
recursive,4,3,2.384185791015625e-06,9,4,5
recursive,5,5,3.337860107421875e-06,15,7,8
recursive,6,8,5.245208740234375e-06,25,12,13
recursive,7,13,8.58306884765625e-06,41,20,21
recursive,8,21,1.4066696166992188e-05,67,33,34
recursive,9,34,2.2411346435546875e-05,109,54,55
recursive,10,55,3.647804260253906e-05,177,88,89
recursive,11,89,5.936622619628906e-05,287,143,144
recursive,12,144,9.560585021972656e-05,465,232,233
recursive,13,233,0.00015401840209960938,753,376,377
recursive,14,377,0.0002951622009277344,1219,609,610
recursive,15,610,0.0004153251647949219,1973,986,987
recursive,16,987,0.0007140636444091797,3193,1596,1597
recursive,17,1597,0.0011358261108398438,5167,2583,2584
recursive,18,2584,0.002173185348510742,8361,4180,4181
recursive,19,4181,0.0032134056091308594,13529,6764,6765
recursive,20,6765,0.004718303680419922,21891,10945,10946
recursive,21,10946,0.008559703826904297,35421,17710,17711
recursive,22,17711,0.013451814651489258,57313,28656,28657
recursive,23,28657,0.021979093551635742,92735,46367,46368
recursive,24,46368,0.03636431694030762,150049,75024,75025
recursive,25,75025,0.05712151527404785,242785,121392,121393
recursive,26,121393,0.09457182884216309,392835,196417,196418
recursive,27,196418,0.15299558639526367,635621,317810,317811
recursive,28,317811,0.25174546241760254,1028457,514228,514229
recursive,29,514229,0.4056398868560791,1664079,832039,832040
recursive,30,832040,0.6471254825592041,2692537,1346268,1346269
recursive,31,1346269,1.0530774593353271,4356617,2178308,2178309
recursive,32,2178309,1.669252634048462,7049155,3524577,3524578
recursive,33,3524578,2.6769983768463135,11405773,5702886,5702887
recursive,34,5702887,4.375357151031494,18454929,9227464,9227465
recursive,35,9227465,7.096918106079102,29860703,14930351,14930352
memoized,0,0,3.0994415283203125e-06,1,0,1
memoized,1,1,7.152557373046875e-07,1,0,1
memoized,2,1,1.6689300537109375e-06,3,1,2
memoized,3,2,1.9073486328125e-06,5,2,2
memoized,4,3,2.1457672119140625e-06,7,3,2
memoized,5,5,2.86102294921875e-06,9,4,2
memoized,6,8,3.0994415283203125e-06,11,5,2
memoized,7,13,3.5762786865234375e-06,13,6,2
memoized,8,21,7.867813110351562e-06,15,7,2
memoized,9,34,4.291534423828125e-06,17,8,2
memoized,10,55,6.67572021484375e-06,19,9,2
memoized,11,89,5.4836273193359375e-06,21,10,2
memoized,12,144,5.9604644775390625e-06,23,11,2
memoized,13,233,6.4373016357421875e-06,25,12,2
memoized,14,377,6.67572021484375e-06,27,13,2
memoized,15,610,7.152557373046875e-06,29,14,2
memoized,16,987,7.62939453125e-06,31,15,2
memoized,17,1597,8.344650268554688e-06,33,16,2
memoized,18,2584,1.4781951904296875e-05,35,17,2
memoized,19,4181,9.298324584960938e-06,37,18,2
memoized,20,6765,9.5367431640625e-06,39,19,2
memoized,21,10946,1.0728836059570312e-05,41,20,2
memoized,22,17711,1.3113021850585938e-05,43,21,2
memoized,23,28657,1.1205673217773438e-05,45,22,2
memoized,24,46368,1.1444091796875e-05,47,23,2
memoized,25,75025,1.239776611328125e-05,49,24,2
memoized,26,121393,1.2636184692382812e-05,51,25,2
memoized,27,196418,1.3113021850585938e-05,53,26,2
memoized,28,317811,1.33514404296875e-05,55,27,2
memoized,29,514229,1.4066696166992188e-05,57,28,2
memoized,30,832040,1.430511474609375e-05,59,29,2
memoized,31,1346269,1.4781951904296875e-05,61,30,2
memoized,32,2178309,1.5974044799804688e-05,63,31,2
memoized,33,3524578,1.5735626220703125e-05,65,32,2
memoized,34,5702887,1.5974044799804688e-05,67,33,2
memoized,35,9227465,1.6450881958007812e-05,69,34,2
iterative,0,0,4.76837158203125e-07,1,0,1
iterative,1,1,2.384185791015625e-07,1,0,1
iterative,2,1,1.1920928955078125e-06,1,1,4
iterative,3,2,1.1920928955078125e-06,1,2,6
iterative,4,3,9.5367431640625e-07,1,3,8
iterative,5,5,1.430511474609375e-06,1,4,10
iterative,6,8,1.1920928955078125e-06,1,5,12
iterative,7,13,1.1920928955078125e-06,1,6,14
iterative,8,21,1.430511474609375e-06,1,7,16
iterative,9,34,1.430511474609375e-06,1,8,18
iterative,10,55,1.6689300537109375e-06,1,9,20
iterative,11,89,1.6689300537109375e-06,1,10,22
iterative,12,144,1.9073486328125e-06,1,11,24
iterative,13,233,2.384185791015625e-06,1,12,26
