round,trick,step,player_name,strategy,action,cards_played,hand_size_before,hand_size_after,current_size_before,current_rank_before,is_lead,is_justice_burst,is_revolution_trigger,revolution_state_after,finish_position,ended_on_bomb
1,1,1,Cody,Cautious,play,3♠,11,10,0,,True,False,False,False,5,False
1,1,2,Tyler,PairLover,play,4♠,10,9,1,3,False,False,False,False,1,False
1,1,3,Hadley,ChaosRevolutionary,play,2♦,10,9,1,4,False,True,False,False,2,False
1,2,1,Hadley,ChaosRevolutionary,play,9♦ 9♥ 9♠,9,6,0,,True,False,False,False,2,False
1,2,2,Blake,Random,pass,,10,10,3,9,False,False,False,False,3,False
1,2,3,Savannah,Greedy,play,A♣ A♦ A♠,11,8,3,9,False,False,False,False,4,False
1,2,4,Cody,Cautious,pass,,10,10,3,A,False,False,False,False,5,False
1,2,5,Tyler,PairLover,pass,,9,9,3,A,False,False,False,False,1,False
1,2,6,Hadley,ChaosRevolutionary,pass,,6,6,3,A,False,False,False,False,2,False
1,3,1,Savannah,Greedy,play,K♥,8,7,0,,True,False,False,False,4,False
1,3,2,Cody,Cautious,play,A♥,10,9,1,K,False,False,False,False,5,False
1,3,3,Tyler,PairLover,play,2♣,9,8,1,A,False,True,False,False,1,False
1,4,1,Tyler,PairLover,play,Q♠ Q♥,8,6,0,,True,False,False,False,1,False
1,4,2,Hadley,ChaosRevolutionary,pass,,6,6,2,Q,False,False,False,False,2,False
1,4,3,Blake,Random,pass,,10,10,2,Q,False,False,False,False,3,False
1,4,4,Savannah,Greedy,pass,,7,7,2,Q,False,False,False,False,4,False
1,4,5,Cody,Cautious,pass,,9,9,2,Q,False,False,False,False,5,False
1,5,1,Tyler,PairLover,play,3♥,6,5,0,,True,False,False,False,1,False
1,5,2,Hadley,ChaosRevolutionary,play,K♠,6,5,1,3,False,False,False,False,2,False
1,5,3,Blake,Random,play,2♠,10,9,1,K,False,True,False,False,3,False
1,6,1,Blake,Random,play,4♣,9,8,0,,True,False,False,False,3,False
