Fibo Num,Iterative Time (s),Iterative Function Calls,Iterative Additions,Iterative Subtractions,Iterative Memory Assignments,Recursive Time (s),Recursive Function Calls,Recursive Additions,Recursive Subtractions,Recursive Memory Assignments
1,0.0,0,1,0,4,0.0,1,0,0,0
2,0.0,0,2,0,6,0.0,3,1,0,0
3,0.0,0,3,0,8,0.0,5,2,0,0
4,0.0,0,4,0,10,0.0,9,4,0,0
1,0.0,0,1,0,4,0.0,1,0,0,0
2,0.0,0,2,0,6,0.0,3,1,0,0
3,0.0,0,3,0,8,0.0,5,2,0,0
4,0.0,0,4,0,10,0.0,9,4,0,0
5,0.0,0,5,0,12,0.0,15,7,0,0
6,0.0,0,6,0,14,0.0,25,12,0,0
7,0.0,0,7,0,16,0.0,41,20,0,0
8,0.0,0,8,0,18,0.0,67,33,0,0
9,0.0,0,9,0,20,0.0010037422180175781,109,54,0,0
1,0.0,0,1,0,4,0.0,1,0,0,0
2,0.0,0,2,0,6,0.0,3,1,0,0
3,0.0,0,3,0,8,0.0,5,2,0,0
4,0.0,0,4,0,10,0.0,9,4,0,0
5,0.0,0,5,0,12,0.0,15,7,0,0
6,0.0,0,6,0,14,0.0,25,12,0,0
7,0.0,0,7,0,16,0.0,41,20,0,0
8,0.0,0,8,0,18,0.0,67,33,0,0
9,0.0,0,9,0,20,0.0,109,54,0,0
10,0.0,0,10,0,22,0.0,177,88,0,0
11,0.0,0,11,0,24,0.0,287,143,0,0
12,0.0,0,12,0,26,0.0014338493347167969,465,232,0,0
13,0.0,0,13,0,28,0.0,753,376,0,0
14,0.0,0,14,0,30,0.0,1219,609,0,0
15,0.0,0,15,0,32,0.001007080078125,1973,986,0,0
16,0.0,0,16,0,34,0.0009980201721191406,3193,1596,0,0
17,0.0,0,17,0,36,0.00099945068359375,5167,2583,0,0
18,0.0,0,18,0,38,0.002000570297241211,8361,4180,0,0
19,0.0,0,19,0,40,0.003533601760864258,13529,6764,0,0
1,0.0,0,1,0,4,0.0,1,0,0,0
2,0.0,0,2,0,6,0.0,3,1,0,0
