batch size,balanced head count,possible outcomes,possible balanced outcomes,calculated percentage,"observed percentage,",percentage error,time in seconds
2,1,4,2,50.00%,50.28%,0.28%,0.066569
4,2,16,6,37.50%,37.64%,0.14%,0.110492
6,3,64,20,31.25%,31.19%,0.06%,0.136433
8,4,256,70,27.34%,27.54%,0.20%,0.201154
10,5,1024,252,24.61%,24.56%,0.05%,0.213032
12,6,4096,924,22.56%,22.59%,0.03%,0.230976
14,7,16384,3432,20.95%,20.84%,0.10%,0.258454
16,8,65536,12870,19.64%,19.65%,0.01%,0.299123
18,9,262144,48620,18.55%,18.57%,0.03%,0.332757
20,10,1048576,184756,17.62%,17.72%,0.10%,0.371574
22,11,4194304,705432,16.82%,16.81%,0.01%,0.402877
24,12,16777216,2704156,16.12%,16.02%,0.10%,0.403459
26,13,67108864,10400600,15.50%,15.44%,0.05%,0.453789
28,14,268435456,40116600,14.94%,15.06%,0.12%,0.463688
30,15,1073741824,155117520,14.45%,14.47%,0.02%,0.511286
32,16,4294967296,601080390,13.99%,13.94%,0.05%,0.508936
34,17,17179869184,2333606220,13.58%,13.55%,0.03%,0.550011
36,18,68719476736,9075135300,13.21%,12.99%,0.22%,0.578912
38,19,2.74878E+11,35345263800,12.86%,12.86%,0.00%,0.618382
40,20,1.09951E+12,1.37847E+11,12.54%,12.52%,0.02%,0.646352
42,21,4.39805E+12,5.38258E+11,12.24%,12.15%,0.09%,0.749805
44,22,1.75922E+13,2.1041E+12,11.96%,12.11%,0.15%,0.719398
46,23,7.03687E+13,8.23343E+12,11.70%,11.58%,0.13%,0.730321
48,24,2.81475E+14,3.22476E+13,11.46%,11.46%,0.01%,0.74061
50,25,1.1259E+15,1.26411E+14,11.23%,11.13%,0.09%,0.785583
52,26,4.5036E+15,4.95919E+14,11.01%,11.11%,0.10%,0.801822
54,27,1.80144E+16,1.94694E+15,10.81%,10.82%,0.02%,0.841202
56,28,7.20576E+16,7.64869E+15,10.61%,10.56%,0.06%,0.865403
58,29,2.8823E+17,3.00673E+16,10.43%,10.46%,0.03%,0.919357
60,30,1.15292E+18,1.18265E+17,10.26%,10.26%,0.01%,0.928245
62,31,4.61169E+18,4.65428E+17,10.09%,10.11%,0.02%,0.935253
64,32,1.84467E+19,1.83262E+18,9.93%,10.12%,0.19%,0.967656
66,33,7.3787E+19,7.21943E+18,9.78%,9.74%,0.05%,1.07939
68,34,2.95148E+20,2.8453E+19,9.64%,9.54%,0.10%,1.051474
70,35,1.18059E+21,1.12186E+20,9.50%,9.38%,0.13%,1.074708
72,36,4.72237E+21,4.42513E+20,9.37%,9.50%,0.13%,1.107668
74,37,1.88895E+22,1.74613E+21,9.24%,9.56%,0.32%,1.127879
76,38,7.55579E+22,6.89262E+21,9.12%,9.17%,0.05%,1.518426
78,39,3.02231E+23,2.7217E+22,9.01%,9.02%,0.02%,1.17214
80,40,1.20893E+24,1.07507E+23,8.89%,8.95%,0.06%,1.207734
82,41,4.8357E+24,4.24785E+23,8.78%,8.85%,0.07%,1.583567
84,42,1.93428E+25,1.67891E+24,8.68%,8.55%,0.13%,5.095419
86,43,7.73713E+25,6.63755E+24,8.58%,8.48%,0.10%,4.756805
88,44,3.09485E+26,2.62485E+25,8.48%,8.56%,0.08%,2.613867
90,45,1.23794E+27,1.03827E+26,8.39%,8.43%,0.05%,1.55106
92,46,4.95176E+27,4.10795E+26,8.30%,8.10%,0.19%,1.47123
94,47,1.9807E+28,1.6257E+27,8.21%,8.16%,0.04%,1.494487
96,48,7.92282E+28,6.43507E+27,8.12%,8.17%,0.05%,1.461885
98,49,3.16913E+29,2.54776E+28,8.04%,8.06%,0.02%,1.473553
100,50,1.26765E+30,1.00891E+29,7.96%,7.94%,0.01%,1.516225
102,51,5.0706E+30,3.99609E+29,7.88%,7.99%,0.11%,1.535165
104,52,2.02824E+31,1.58307E+30,7.81%,7.74%,0.06%,1.874903
106,53,8.11296E+31,6.27253E+30,7.73%,7.70%,0.03%,1.581348
108,54,3.24519E+32,2.48578E+31,7.66%,7.78%,0.12%,1.5968
110,55,1.29807E+33,9.85272E+31,7.59%,7.49%,0.10%,1.645026
112,56,5.1923E+33,3.9059E+32,7.52%,7.56%,0.04%,1.663266
114,57,2.07692E+34,1.54866E+33,7.46%,7.36%,0.10%,1.709131
116,58,8.30767E+34,6.14122E+33,7.39%,7.45%,0.06%,1.752475
118,59,3.32307E+35,2.43567E+34,7.33%,7.42%,0.09%,1.759444
120,60,1.32923E+36,9.66149E+34,7.27%,7.20%,0.07%,1.781356
122,61,5.31691E+36,3.83292E+35,7.21%,7.24%,0.03%,1.827196
124,62,2.12676E+37,1.5208E+36,7.15%,6.98%,0.17%,1.847745
126,63,8.50706E+37,6.03493E+36,7.09%,7.13%,0.04%,2.554964
128,64,3.40282E+38,2.39511E+37,7.04%,6.97%,0.07%,2.581954
130,65,1.36113E+39,9.50676E+37,6.98%,7.12%,0.13%,1.907166
132,66,5.44452E+39,3.7739E+38,6.93%,7.01%,0.08%,2.414671
134,67,2.17781E+40,1.49829E+39,6.88%,6.84%,0.04%,1.971901
136,68,8.71123E+40,5.94911E+39,6.83%,6.89%,0.06%,2.00622
138,69,3.48449E+41,2.3624E+40,6.78%,6.93%,0.15%,2.056645
140,70,1.3938E+42,9.3821E+40,6.73%,6.62%,0.11%,2.056904
142,71,5.57519E+42,3.72641E+41,6.68%,6.61%,0.07%,2.091361
144,72,2.23007E+43,1.48021E+42,6.64%,6.77%,0.14%,2.132555
146,73,8.9203E+43,5.8803E+42,6.59%,6.62%,0.03%,2.144579
148,74,3.56812E+44,2.33623E+43,6.55%,6.67%,0.12%,2.192044
150,75,1.42725E+45,9.28261E+43,6.50%,6.47%,0.03%,2.255664
152,76,5.70899E+45,3.68861E+44,6.46%,6.36%,0.10%,2.268384
154,77,2.2836E+46,1.46587E+45,6.42%,6.46%,0.04%,2.289706
156,78,9.13439E+46,5.82587E+45,6.38%,6.31%,0.07%,2.285633
158,79,3.65375E+47,2.3156E+46,6.34%,6.36%,0.02%,2.334632
160,80,1.4615E+48,9.20451E+46,6.30%,6.19%,0.11%,2.353514
162,81,5.84601E+48,3.65908E+47,6.26%,6.29%,0.03%,2.378384
164,82,2.3384E+49,1.45471E+48,6.22%,6.21%,0.02%,2.470055
166,83,9.35361E+49,5.78377E+48,6.18%,6.24%,0.06%,5.391818
168,84,3.74144E+50,2.29974E+49,6.15%,6.20%,0.05%,8.249866
170,85,1.49658E+51,9.14484E+49,6.11%,6.08%,0.03%,8.660932
172,86,5.98631E+51,3.63667E+50,6.07%,6.02%,0.06%,5.992102
