batch size,balanced head count,possible outcomes,possible balanced outcomes,calculated percentage,"observed percentage,",percentage error,time in seconds
 2, 1, 4, 2, 50.00%, 49.49%, 0.51%, 0.002942
 4, 2, 16, 6, 37.50%, 36.92%, 0.58%, 0.013276
 6, 3, 64, 20, 31.25%, 30.90%, 0.35%, 0.021855
 8, 4, 256, 70, 27.34%, 26.84%, 0.50%, 0.027686
 10, 5, 1024, 252, 24.61%, 24.49%, 0.12%, 0.024230
 12, 6, 4096, 924, 22.56%, 22.32%, 0.24%, 0.037515
 14, 7, 16384, 3432, 20.95%, 21.72%, 0.77%, 0.053356
 16, 8, 65536, 12870, 19.64%, 19.45%, 0.19%, 0.057323
 18, 9, 262144, 48620, 18.55%, 18.23%, 0.32%, 0.072076
 20, 10, 1048576, 184756, 17.62%, 17.96%, 0.34%, 0.081869
 22, 11, 4194304, 705432, 16.82%, 16.87%, 0.05%, 0.056410
 24, 12, 16777216, 2704156, 16.12%, 16.20%, 0.08%, 0.071783
 26, 13, 67108864, 10400600, 15.50%, 15.82%, 0.32%, 0.054672
 28, 14, 268435456, 40116600, 14.94%, 14.88%, 0.06%, 0.076138
 30, 15, 1073741824, 155117520, 14.45%, 14.60%, 0.15%, 0.065228
 32, 16, 4294967296, 601080390, 13.99%, 14.62%, 0.63%, 0.073032
 34, 17, 17179869184, 2333606220, 13.58%, 13.47%, 0.11%, 0.117271
 36, 18, 68719476736, 9075135300, 13.21%, 12.60%, 0.61%, 0.095886
 38, 19, 274877906944, 35345263800, 12.86%, 12.30%, 0.56%, 0.118870
 40, 20, 1099511627776, 137846528820, 12.54%, 12.85%, 0.31%, 0.147456
 42, 21, 4398046511104, 538257874440, 12.24%, 11.53%, 0.71%, 0.162546
 44, 22, 17592186044416, 2104098963720, 11.96%, 12.24%, 0.28%, 0.083519
 46, 23, 70368744177664, 8233430727600, 11.70%, 11.48%, 0.22%, 0.228289
 48, 24, 281474976710656, 32247603683100, 11.46%, 11.16%, 0.30%, 0.507411
 50, 25, 1125899906842624, 126410606437752, 11.23%, 11.03%, 0.20%, 0.668287
 52, 26, 4503599627370496, 495918532948104, 11.01%, 10.22%, 0.79%, 0.133960
 54, 27, 18014398509481984, 1946939425648112, 10.81%, 10.44%, 0.37%, 0.216588
 56, 28, 72057594037927936, 7648690600760440, 10.61%, 10.80%, 0.19%, 0.286314
