batch size,balanced head count,possible outcomes,possible balanced outcomes,calculated percentage,"observed percentage,",percentage error,time in seconds
2,1,4,2,50.00%,51.40%,1.40%,0.002516
4,2,16,6,37.50%,37.00%,0.50%,0.002357
6,3,64,20,31.25%,31.50%,0.25%,0.003948
8,4,256,70,27.34%,27.20%,0.14%,0.00112
10,5,1024,252,24.61%,23.40%,1.21%,0.007182
12,6,4096,924,22.56%,22.00%,0.56%,0.003828
14,7,16384,3432,20.95%,20.30%,0.65%,0.003444
16,8,65536,12870,19.64%,17.20%,2.44%,0.002438
18,9,262144,48620,18.55%,17.50%,1.05%,0.002391
20,10,1048576,184756,17.62%,17.20%,0.42%,0.00208
22,11,4194304,705432,16.82%,17.70%,0.88%,0.008358
24,12,16777216,2704156,16.12%,16.30%,0.18%,0.002677
26,13,67108864,10400600,15.50%,14.40%,1.10%,0.004074
28,14,268435456,40116600,14.94%,13.00%,1.94%,0.008735
30,15,1073741824,155117520,14.45%,13.60%,0.85%,0.001002
32,16,4294967296,601080390,13.99%,13.50%,0.49%,0.0068
34,17,17179869184,2333606220,13.58%,11.80%,1.78%,0.004837
36,18,68719476736,9075135300,13.21%,12.80%,0.41%,0.00703
38,19,2.74878E+11,35345263800,12.86%,12.30%,0.56%,0.008134
40,20,1.09951E+12,1.37847E+11,12.54%,11.50%,1.04%,0.008687
42,21,4.39805E+12,5.38258E+11,12.24%,13.10%,0.86%,0.011465
44,22,1.75922E+13,2.1041E+12,11.96%,10.80%,1.16%,0.007193
46,23,7.03687E+13,8.23343E+12,11.70%,12.80%,1.10%,0.011674
48,24,2.81475E+14,3.22476E+13,11.46%,10.80%,0.66%,0.005455
50,25,1.1259E+15,1.26411E+14,11.23%,10.80%,0.43%,0.008573
52,26,4.5036E+15,4.95919E+14,11.01%,11.80%,0.79%,0.007859
54,27,1.80144E+16,1.94694E+15,10.81%,9.80%,1.01%,0.0068
56,28,7.20576E+16,7.64869E+15,10.61%,11.20%,0.59%,0.012001
58,29,2.8823E+17,3.00673E+16,10.43%,10.80%,0.37%,0.016665
60,30,1.15292E+18,1.18265E+17,10.26%,9.30%,0.96%,0.013189
62,31,4.61169E+18,4.65428E+17,10.09%,9.80%,0.29%,0.016849
64,32,1.84467E+19,1.83262E+18,9.93%,9.90%,0.03%,0.014575
66,33,7.3787E+19,7.21943E+18,9.78%,10.10%,0.32%,0.016439
68,34,2.95148E+20,2.8453E+19,9.64%,10.00%,0.36%,0.014401
70,35,1.18059E+21,1.12186E+20,9.50%,9.20%,0.30%,0.014163
72,36,4.72237E+21,4.42513E+20,9.37%,9.20%,0.17%,0.018044
74,37,1.88895E+22,1.74613E+21,9.24%,9.00%,0.24%,0.012214
76,38,7.55579E+22,6.89262E+21,9.12%,9.60%,0.48%,0.014883
78,39,3.02231E+23,2.7217E+22,9.01%,8.20%,0.81%,0.028309
80,40,1.20893E+24,1.07507E+23,8.89%,9.20%,0.31%,0.014097
82,41,4.8357E+24,4.24785E+23,8.78%,9.80%,1.02%,0.015693
84,42,1.93428E+25,1.67891E+24,8.68%,7.70%,0.98%,0.015575
86,43,7.73713E+25,6.63755E+24,8.58%,7.80%,0.78%,0.017771
88,44,3.09485E+26,2.62485E+25,8.48%,9.40%,0.92%,0.019975
90,45,1.23794E+27,1.03827E+26,8.39%,7.90%,0.49%,0.015821
92,46,4.95176E+27,4.10795E+26,8.30%,9.50%,1.20%,0.017869
94,47,1.9807E+28,1.6257E+27,8.21%,8.10%,0.11%,0.018296
96,48,7.92282E+28,6.43507E+27,8.12%,6.90%,1.22%,0.017848
98,49,3.16913E+29,2.54776E+28,8.04%,7.20%,0.84%,0.020926
100,50,1.26765E+30,1.00891E+29,7.96%,9.10%,1.14%,0.023319
102,51,5.0706E+30,3.99609E+29,7.88%,8.20%,0.32%,0.015188
104,52,2.02824E+31,1.58307E+30,7.81%,7.00%,0.81%,0.01336
106,53,8.11296E+31,6.27253E+30,7.73%,9.90%,2.17%,0.014314
108,54,3.24519E+32,2.48578E+31,7.66%,8.10%,0.44%,0.022529
110,55,1.29807E+33,9.85272E+31,7.59%,6.60%,0.99%,0.024634
112,56,5.1923E+33,3.9059E+32,7.52%,6.70%,0.82%,0.02232
114,57,2.07692E+34,1.54866E+33,7.46%,6.80%,0.66%,0.016062
116,58,8.30767E+34,6.14122E+33,7.39%,7.50%,0.11%,0.022291
118,59,3.32307E+35,2.43567E+34,7.33%,6.80%,0.53%,0.020604
